ds,y
2018-05-31,27373.260005
2018-06-01,37284.049988
2018-06-02,28870.66999
2018-06-03,32375.809994
2018-06-04,33866.16999
2018-06-05,35869.160004
2018-06-06,32176.98
2018-06-07,42676.38002
2018-06-08,31031.819994
2018-06-09,33831.91
2018-06-10,30124.459995
2018-06-11,57345.55998
2018-06-12,46630.25999
2018-06-13,40557.06997
2018-06-14,32553.16
2018-06-15,31134.140006999998
2018-06-16,28607.93
2018-06-17,20657.66999
2018-06-18,39773.009991
2018-06-19,39427.639975
2018-06-20,34251.49999
2018-06-21,33152.97001
2018-06-22,28484.570005999998
2018-06-23,21043.649958
2018-06-24,29291.59002
2018-06-25,41024.31
2018-06-26,36999.52
2018-06-27,32505.93002
2018-06-28,37182.97
2018-06-29,24857.31
2018-06-30,18502.51
2018-07-01,28512.39
2018-07-02,29113.41001
2018-07-03,31209.769991
2018-07-04,41009.490006
2018-07-05,33574.05
2018-07-06,21828.250036999998
2018-07-07,10942.08
2018-07-08,17107.22
2018-07-09,22894.0
2018-07-10,21572.529995
2018-07-11,21286.739999999998
2018-07-12,22767.579984
2018-07-13,32529.39
2018-07-14,25593.41001
2018-07-15,33876.6
2018-07-16,36329.499991
2018-07-17,34775.60001
2018-07-18,48588.050007
2018-07-19,44557.39001
2018-07-20,37905.62
2018-07-21,25130.57998
2018-07-22,30939.740011
2018-07-23,47195.40003
2018-07-24,46345.99
2018-07-25,47599.780002
2018-07-26,41183.980015
2018-07-27,33017.330009
2018-07-28,29350.489990000002
2018-07-29,34233.310002
2018-07-30,44165.920003
2018-07-31,52768.270004
2018-08-01,48066.11
2018-08-02,44852.239995
2018-08-03,48819.74999
2018-08-04,40250.11
2018-08-05,41282.33999
2018-08-06,62728.23
2018-08-07,55643.03
2018-08-08,50376.959988
2018-08-09,46246.05002
2018-08-10,38934.429992
2018-08-11,30511.58001
2018-08-12,34260.37
2018-08-13,45431.380007
2018-08-14,51138.460004
2018-08-15,52083.73999
2018-08-16,41699.14998
2018-08-17,36948.840012
2018-08-18,28475.760000000002
2018-08-19,29989.35001
2018-08-20,39054.09001
2018-08-21,30773.18
2018-08-22,24203.63
2018-08-23,19522.579999999998
2018-08-24,11085.63002
2018-08-25,11737.76
2018-08-26,9304.0
2018-08-27,6111.6
2018-08-28,4121.23
2018-08-29,1762.6999999999998
