ds,yhat
2018-08-30,30013.918515421956
2018-08-31,29761.013406032933
2018-09-01,24143.279595713233
2018-09-02,25765.62997318557
2018-09-03,34508.4309482599
2018-09-04,34406.19438550801
2018-09-05,33992.559145551604
2018-09-06,33467.22286607706
2018-09-07,33273.86483812523
2018-09-08,27624.99182526244
2018-09-09,29130.611675756947
2018-09-10,37678.38699506524
2018-09-11,37312.09871640226
2018-09-12,36576.3458917354
2018-09-13,35683.14995203624
2018-09-14,35089.51320419903
2018-09-15,29021.873385692204
2018-09-16,30104.36989747728
2018-09-17,38238.58526072004
2018-09-18,37481.60311556914
2018-09-19,36390.32045396515
2018-09-20,35187.69327996267
2018-09-21,34339.975680895535
2018-09-22,28080.90332999586
2018-09-23,29039.74496251637
2018-09-24,37120.89178517554
2018-09-25,36381.83085509145
2018-09-26,35377.44299545074
2018-09-27,34326.30538042159
2018-09-28,33688.057730011955
