ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-30,35566.61664307189,18610.583432531887,40308.37345331368,35566.61664307189,35566.61664307189,-5552.698127649932,-5552.698127649932,-5552.698127649932,1063.9449519336526,1063.9449519336526,1063.9449519336526,-6616.643079583585,-6616.643079583585,-6616.643079583585,0.0,0.0,0.0,30013.918515421956
2018-08-31,35569.600102703305,19302.822911923136,40352.23367568139,35569.600102703305,35569.600102703305,-5808.586696670372,-5808.586696670372,-5808.586696670372,397.26140113589304,397.26140113589304,397.26140113589304,-6205.848097806266,-6205.848097806266,-6205.848097806266,0.0,0.0,0.0,29761.013406032933
2018-09-01,35572.58356233474,14257.877009298862,34709.670684854136,35572.58356233474,35572.58356233474,-11429.303966621503,-11429.303966621503,-11429.303966621503,-5683.938144529874,-5683.938144529874,-5683.938144529874,-5745.365822091629,-5745.365822091629,-5745.365822091629,0.0,0.0,0.0,24143.279595713233
2018-09-02,35575.56702196616,16131.724071841114,36523.95725022131,35575.56702196616,35575.56702196616,-9809.937048780595,-9809.937048780595,-9809.937048780595,-4560.944661513683,-4560.944661513683,-4560.944661513683,-5248.9923872669115,-5248.9923872669115,-5248.9923872669115,0.0,0.0,0.0,25765.62997318557
2018-09-03,35578.55048159759,23232.291230171115,44478.47433916874,35578.55048159759,35578.55048159759,-1070.1195333376922,-1070.1195333376922,-1070.1195333376922,3660.736543833562,3660.736543833562,3660.736543833562,-4730.856077171255,-4730.856077171255,-4730.856077171255,0.0,0.0,0.0,34508.4309482599
2018-09-04,35581.53394122901,23748.044475982053,45297.99645034057,35581.53394122901,35581.70161941919,-1175.3395557210029,-1175.3395557210029,-1175.3395557210029,3029.69862183156,3029.69862183156,3029.69862183156,-4205.038177552562,-4205.038177552562,-4205.038177552562,0.0,0.0,0.0,34406.19438550801
2018-09-05,35584.51740086044,23451.605457783506,45614.219436082094,35583.52798423419,35585.836531973684,-1591.9582553088337,-1591.9582553088337,-1591.9582553088337,2093.241287300783,2093.241287300783,2093.241287300783,-3685.1995426096173,-3685.1995426096173,-3685.1995426096173,0.0,0.0,0.0,33992.559145551604
2018-09-06,35587.50086049187,22901.8460131315,43480.3350075292,35585.55854192437,35590.2381309435,-2120.277994414806,-2120.277994414806,-2120.277994414806,1063.9449519352725,1063.9449519352725,1063.9449519352725,-3184.2229463500794,-3184.2229463500794,-3184.2229463500794,0.0,0.0,0.0,33467.22286607706
2018-09-07,35590.48432012329,23191.67328616897,44535.61957386832,35586.625222210445,35595.1693932094,-2316.619481998061,-2316.619481998061,-2316.619481998061,397.2614011471063,397.2614011471063,397.2614011471063,-2713.8808831451665,-2713.8808831451665,-2713.8808831451665,0.0,0.0,0.0,33273.86483812523
2018-09-08,35593.46777975472,17500.83758924009,38759.616317688524,35587.64556709606,35599.84636174156,-7968.475954492278,-7968.475954492278,-7968.475954492278,-5683.938144530382,-5683.938144530382,-5683.938144530382,-2284.5378099618947,-2284.5378099618947,-2284.5378099618947,0.0,0.0,0.0,27624.99182526244
2018-09-09,35596.451239386144,18183.48519399378,39248.33606680329,35589.35900161939,35605.08044148512,-6465.839563629196,-6465.839563629196,-6465.839563629196,-4560.9446615104525,-4560.9446615104525,-4560.9446615104525,-1904.8949021187434,-1904.8949021187434,-1904.8949021187434,0.0,0.0,0.0,29130.611675756947
2018-09-10,35599.43469901757,26613.537107772838,48065.88488147908,35589.6017739782,35609.48148947826,2078.9522960476684,2078.9522960476684,2078.9522960476684,3660.7365438340594,3660.7365438340594,3660.7365438340594,-1581.7842477863912,-1581.7842477863912,-1581.7842477863912,0.0,0.0,0.0,37678.38699506524
2018-09-11,35602.418158648994,26794.16483736707,47705.45814662365,35590.67764548385,35615.71412715705,1709.6805577532618,1709.6805577532618,1709.6805577532618,3029.6986218309353,3029.6986218309353,3029.6986218309353,-1320.0180640776728,-1320.0180640776728,-1320.0180640776728,0.0,0.0,0.0,37312.09871640226
2018-09-12,35605.40161828042,25907.9379826084,47168.14974190544,35590.78680776741,35621.18178077072,970.9442734549814,970.9442734549814,970.9442734549814,2093.2412872996583,2093.2412872996583,2093.2412872996583,-1122.2970138446765,-1122.2970138446765,-1122.2970138446765,0.0,0.0,0.0,36576.3458917354
