ds,period,segment,value
2018-05-31,Actual,All,27373.260005
2018-06-01,Actual,All,37284.049988
2018-06-02,Actual,All,28870.66999
2018-06-03,Actual,All,32375.809994
2018-06-04,Actual,All,33866.16999
2018-06-05,Actual,All,35869.160004
2018-06-06,Actual,All,32176.98
2018-06-07,Actual,All,42676.38002
2018-06-08,Actual,All,31031.819994
2018-06-09,Actual,All,33831.91
2018-06-10,Actual,All,30124.459995
2018-06-11,Actual,All,57345.55998
2018-06-12,Actual,All,46630.25999
2018-06-13,Actual,All,40557.06997
2018-06-14,Actual,All,32553.16
2018-06-15,Actual,All,31134.140006999998
2018-06-16,Actual,All,28607.93
2018-06-17,Actual,All,20657.66999
2018-06-18,Actual,All,39773.009991
2018-06-19,Actual,All,39427.639975
2018-06-20,Actual,All,34251.49999
2018-06-21,Actual,All,33152.97001
2018-06-22,Actual,All,28484.570005999998
2018-06-23,Actual,All,21043.649958
2018-06-24,Actual,All,29291.59002
2018-06-25,Actual,All,41024.31
2018-06-26,Actual,All,36999.52
2018-06-27,Actual,All,32505.93002
2018-06-28,Actual,All,37182.97
2018-06-29,Actual,All,24857.31
2018-06-30,Actual,All,18502.51
2018-07-01,Actual,All,28512.39
2018-07-02,Actual,All,29113.41001
2018-07-03,Actual,All,31209.769991
2018-07-04,Actual,All,41009.490006
2018-07-05,Actual,All,33574.05
2018-07-06,Actual,All,21828.250036999998
2018-07-07,Actual,All,10942.08
2018-07-08,Actual,All,17107.22
2018-07-09,Actual,All,22894.0
2018-07-10,Actual,All,21572.529995
2018-07-11,Actual,All,21286.739999999998
2018-07-12,Actual,All,22767.579984
2018-07-13,Actual,All,32529.39
2018-07-14,Actual,All,25593.41001
2018-07-15,Actual,All,33876.6
2018-07-16,Actual,All,36329.499991
2018-07-17,Actual,All,34775.60001
2018-07-18,Actual,All,48588.050007
2018-07-19,Actual,All,44557.39001
2018-07-20,Actual,All,37905.62
2018-07-21,Actual,All,25130.57998
2018-07-22,Actual,All,30939.740011
2018-07-23,Actual,All,47195.40003
2018-07-24,Actual,All,46345.99
2018-07-25,Actual,All,47599.780002
2018-07-26,Actual,All,41183.980015
2018-07-27,Actual,All,33017.330009
2018-07-28,Actual,All,29350.489990000002
2018-07-29,Actual,All,34233.310002
2018-07-30,Actual,All,44165.920003
2018-07-31,Actual,All,52768.270004
2018-08-01,Actual,All,48066.11
2018-08-02,Actual,All,44852.239995
2018-08-03,Actual,All,48819.74999
2018-08-04,Actual,All,40250.11
2018-08-05,Actual,All,41282.33999
2018-08-06,Actual,All,62728.23
2018-08-07,Actual,All,55643.03
2018-08-08,Actual,All,50376.959988
2018-08-09,Actual,All,46246.05002
2018-08-10,Actual,All,38934.429992
2018-08-11,Actual,All,30511.58001
2018-08-12,Actual,All,34260.37
2018-08-13,Actual,All,45431.380007
2018-08-14,Actual,All,51138.460004
2018-08-15,Actual,All,52083.73999
2018-08-16,Actual,All,41699.14998
2018-08-17,Actual,All,36948.840012
2018-08-18,Actual,All,28475.760000000002
2018-08-19,Actual,All,29989.35001
2018-08-20,Actual,All,39054.09001
2018-08-21,Actual,All,30773.18
2018-08-22,Actual,All,24203.63
2018-08-23,Actual,All,19522.579999999998
2018-08-24,Actual,All,11085.63002
2018-08-25,Actual,All,11737.76
2018-08-26,Actual,All,9304.0
2018-08-27,Actual,All,6111.6
2018-08-28,Actual,All,4121.23
2018-08-29,Actual,All,1762.6999999999998
2018-08-30,Forecast,All,30013.918515421956
2018-08-31,Forecast,All,29761.013406032933
2018-09-01,Forecast,All,24143.279595713233
2018-09-02,Forecast,All,25765.62997318557
2018-09-03,Forecast,All,34508.4309482599
2018-09-04,Forecast,All,34406.19438550801
2018-09-05,Forecast,All,33992.559145551604
2018-09-06,Forecast,All,33467.22286607706
2018-09-07,Forecast,All,33273.86483812523
2018-09-08,Forecast,All,27624.99182526244
2018-09-09,Forecast,All,29130.611675756947
2018-09-10,Forecast,All,37678.38699506524
2018-09-11,Forecast,All,37312.09871640226
2018-09-12,Forecast,All,36576.3458917354
2018-09-13,Forecast,All,35683.14995203624
2018-09-14,Forecast,All,35089.51320419903
2018-09-15,Forecast,All,29021.873385692204
2018-09-16,Forecast,All,30104.36989747728
2018-09-17,Forecast,All,38238.58526072004
2018-09-18,Forecast,All,37481.60311556914
2018-09-19,Forecast,All,36390.32045396515
2018-09-20,Forecast,All,35187.69327996267
2018-09-21,Forecast,All,34339.975680895535
2018-09-22,Forecast,All,28080.90332999586
2018-09-23,Forecast,All,29039.74496251637
2018-09-24,Forecast,All,37120.89178517554
2018-09-25,Forecast,All,36381.83085509145
2018-09-26,Forecast,All,35377.44299545074
2018-09-27,Forecast,All,34326.30538042159
2018-09-28,Forecast,All,33688.057730011955
2018-05-31,Actual,Pot,15034.940005
2018-06-01,Actual,Pot,19748.88
2018-06-02,Actual,Pot,16373.76
2018-06-03,Actual,Pot,17170.449999
2018-06-04,Actual,Pot,18464.44999
2018-06-05,Actual,Pot,21559.350014
2018-06-06,Actual,Pot,20080.0
2018-06-07,Actual,Pot,19998.85001
2018-06-08,Actual,Pot,19126.769994
2018-06-09,Actual,Pot,14376.5
2018-06-10,Actual,Pot,16934.139995
2018-06-11,Actual,Pot,33541.9
2018-06-12,Actual,Pot,24754.84
2018-06-13,Actual,Pot,27164.60997
2018-06-14,Actual,Pot,19348.93
2018-06-15,Actual,Pot,19496.910007
2018-06-16,Actual,Pot,18353.57
2018-06-17,Actual,Pot,10696.01999
2018-06-18,Actual,Pot,22495.149991
2018-06-19,Actual,Pot,21645.629985
2018-06-20,Actual,Pot,14497.97
2018-06-21,Actual,Pot,21756.74001
2018-06-22,Actual,Pot,20292.510006
2018-06-23,Actual,Pot,12389.439978
2018-06-24,Actual,Pot,17460.04002
2018-06-25,Actual,Pot,22896.46
2018-06-26,Actual,Pot,23605.17
2018-06-27,Actual,Pot,20852.42002
2018-06-28,Actual,Pot,21687.77
2018-06-29,Actual,Pot,14833.17
2018-06-30,Actual,Pot,11393.61
2018-07-01,Actual,Pot,13314.23
2018-07-02,Actual,Pot,16585.70001
2018-07-03,Actual,Pot,17759.079991
2018-07-04,Actual,Pot,22355.110006
2018-07-05,Actual,Pot,17987.71
2018-07-06,Actual,Pot,12842.570037
2018-07-07,Actual,Pot,7927.35
2018-07-08,Actual,Pot,11050.77
2018-07-09,Actual,Pot,12836.460000000001
2018-07-10,Actual,Pot,11883.689995
2018-07-11,Actual,Pot,14252.02
2018-07-12,Actual,Pot,14144.539999
2018-07-13,Actual,Pot,19018.84
2018-07-14,Actual,Pot,15408.880000000001
2018-07-15,Actual,Pot,21404.45
2018-07-16,Actual,Pot,21606.779991
2018-07-17,Actual,Pot,18104.56001
2018-07-18,Actual,Pot,26234.209987
2018-07-19,Actual,Pot,23732.74
2018-07-20,Actual,Pot,23692.65
2018-07-21,Actual,Pot,15201.32
2018-07-22,Actual,Pot,18261.599991
2018-07-23,Actual,Pot,27867.65003
2018-07-24,Actual,Pot,29141.77
2018-07-25,Actual,Pot,32197.030002
2018-07-26,Actual,Pot,22492.570015
2018-07-27,Actual,Pot,22810.060009
2018-07-28,Actual,Pot,13144.76
2018-07-29,Actual,Pot,17154.090002
2018-07-30,Actual,Pot,27094.750003
2018-07-31,Actual,Pot,32821.100004
2018-08-01,Actual,Pot,27665.86001
2018-08-02,Actual,Pot,25108.529995
2018-08-03,Actual,Pot,26143.69998
2018-08-04,Actual,Pot,22294.1
2018-08-05,Actual,Pot,22206.14999
2018-08-06,Actual,Pot,36948.17
2018-08-07,Actual,Pot,32798.73
2018-08-08,Actual,Pot,25296.929998
2018-08-09,Actual,Pot,28034.04002
2018-08-10,Actual,Pot,21600.269992
2018-08-11,Actual,Pot,22398.72001
2018-08-12,Actual,Pot,22995.08
2018-08-13,Actual,Pot,24175.360007
2018-08-14,Actual,Pot,32472.210004
2018-08-15,Actual,Pot,25039.21
2018-08-16,Actual,Pot,26710.89998
2018-08-17,Actual,Pot,24132.560012
2018-08-18,Actual,Pot,15088.54
2018-08-19,Actual,Pot,21020.78
2018-08-20,Actual,Pot,27747.50001
2018-08-21,Actual,Pot,19362.5
2018-08-22,Actual,Pot,16656.3
2018-08-23,Actual,Pot,11617.67
2018-08-24,Actual,Pot,7278.74002
2018-08-25,Actual,Pot,5369.42
2018-08-26,Actual,Pot,4658.36
2018-08-27,Actual,Pot,4337.17
2018-08-28,Actual,Pot,3219.09
2018-08-29,Actual,Pot,1265.45
2018-08-30,Forecast,Pot,9586.50841067632
2018-08-31,Forecast,Pot,7473.293897504824
2018-09-01,Forecast,Pot,3167.1650407786947
2018-09-02,Forecast,Pot,5078.034822185309
2018-09-03,Forecast,Pot,10431.930087378565
2018-09-04,Forecast,Pot,9594.495226176916
2018-09-05,Forecast,Pot,10244.09406564823
2018-09-06,Forecast,Pot,9120.422168097815
2018-09-07,Forecast,Pot,7761.371190071812
2018-09-08,Forecast,Pot,4205.042757134015
2018-09-09,Forecast,Pot,6851.153783198544
2018-09-10,Forecast,Pot,12915.473789039443
2018-09-11,Forecast,Pot,12753.500429426576
2018-09-12,Forecast,Pot,14033.741746305404
2018-09-13,Forecast,Pot,13486.51367689395
2018-09-14,Forecast,Pot,12640.990417234676
2018-09-15,Forecast,Pot,9527.400745916906
2018-09-16,Forecast,Pot,12538.607703032274
2018-09-17,Forecast,Pot,18884.70758419301
2018-09-18,Forecast,Pot,18916.84993178854
2018-09-19,Forecast,Pot,20300.642715511145
2018-09-20,Forecast,Pot,19765.047239407173
2018-09-21,Forecast,Pot,18839.496847518843
2018-09-22,Forecast,Pot,15556.129587531472
2018-09-23,Forecast,Pot,18311.369973279565
2018-09-24,Forecast,Pot,24320.49433517625
2018-09-25,Forecast,Pot,23941.38082658194
2018-09-26,Forecast,Pot,24847.80857092644
2018-09-27,Forecast,Pot,23778.211714848025
2018-09-28,Forecast,Pot,22272.624622803356
2018-05-31,Actual,Vip,12338.32
2018-06-01,Actual,Vip,17535.169988
2018-06-02,Actual,Vip,12496.90999
2018-06-03,Actual,Vip,15205.359995
2018-06-04,Actual,Vip,15401.720000000001
2018-06-05,Actual,Vip,14309.80999
2018-06-06,Actual,Vip,12096.98
2018-06-07,Actual,Vip,22677.53001
2018-06-08,Actual,Vip,11905.05
2018-06-09,Actual,Vip,19455.41
2018-06-10,Actual,Vip,13190.32
2018-06-11,Actual,Vip,23803.65998
2018-06-12,Actual,Vip,21875.41999
2018-06-13,Actual,Vip,13392.46
2018-06-14,Actual,Vip,13204.23
2018-06-15,Actual,Vip,11637.23
2018-06-16,Actual,Vip,10254.36
2018-06-17,Actual,Vip,9961.65
2018-06-18,Actual,Vip,17277.86
2018-06-19,Actual,Vip,17782.00999
2018-06-20,Actual,Vip,19753.52999
2018-06-21,Actual,Vip,11396.23
2018-06-22,Actual,Vip,8192.06
2018-06-23,Actual,Vip,8654.20998
2018-06-24,Actual,Vip,11831.55
2018-06-25,Actual,Vip,18127.85
2018-06-26,Actual,Vip,13394.35
2018-06-27,Actual,Vip,11653.51
